Name,City,Phone,Type,Service,Location,Discount
华润（望京二店）,北京,6474 3880,零售,购物,朝阳区望京新城西区A4区410号综合楼,
香港宝姿美容美发（左家庄店）,北京,6460 4847,美容美发,美容美发,朝阳区新源里西乙6号,美容、美发、美体、足部保健8折优惠；购买产品除外
新侨饭店凯涛西餐厅,北京,6513 3366-2206,餐饮,西餐,东城区东交民巷2号新桥饭店,9折优惠
新侨饭店咖啡厅,北京,6513 3366,餐饮,酒吧，咖啡厅、茶馆,东城区东交民巷2号新桥饭店二层,9折优惠
翠宫饭店保龄球,北京,6262 8888-55080,健身,健身,海淀区知春路76号翠宫饭店康乐部（西格玛大厦对面）,单次消费门市价格7折或享受店内同期最低优惠，不享受折上折；购买卡类商品无折扣。
翠宫饭店健身房,北京,62628888-55075,健身,健身,海淀区知春路76号翠宫饭店康乐部（西格玛大厦对面）,单次消费门市价格7折或享受店内同期最低优惠，不享受折上折；购买卡类商品无折扣。
友谊宾馆-客用健身房,北京,6849 9696,健身,健身,海淀区白石桥路3号,5-8折优惠
建国饭店（集团）,北京,6500 2233,餐饮,西餐,朝阳区建国饭店一层,
九头鹰（双安店）,北京,6212 7788,餐饮,其它中餐,海淀区双榆树南里甲1号,9.5折优惠（主食、酒水除外）
九头鹰（地坛店）,北京,8411 4888,餐饮,其它中餐,东城区地坛公园西门斜对门,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
九头鹰（友谊店）,北京,6215 1941,餐饮,其它中餐,海淀区友谊宾馆东门对面口内100米,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
九头鹰（志新桥店）,北京,8203 0098,餐饮,其它中餐,海淀区北四环志新桥南100米花园东路8号,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
亚运良子（北辰路店）,北京,84977258,健身,健身,朝阳区北辰东路8号汇园公寓J座15门首层,8折优惠（只限足部保健项目，不得以店内活动重叠优惠）
龙裔巴西烤肉店,北京,6582 1202,餐饮,日韩料理,朝阳区团结湖路7号,无优惠；
星期五餐厅（亚运村店）,北京,8497 0650,餐饮,西餐,朝阳区北辰东路18号凯迪克大厦一层,9折优惠
星期五餐厅（友谊宾馆店）,北京,6849 8738,餐饮,西餐,海淀区中关村友谊宾馆贵宾楼一层南侧,9折优惠
北京巴黎马克西姆餐厅,北京,6512 1992,餐饮,西餐,崇文区崇文门西大街2号,正餐9.5折优惠
好苑建国商务酒店（健身中心）,北京,6528 6666-康乐,健身,健身,朝阳区建国门内大街15号,8折优惠，不参加特价活动
金贝健身俱乐部,北京,6582 4168,健身,健身,朝阳区团结湖北里9号,月卡8.5折；1200元可做30次舍宾；保健单次消费9折（无折扣项目、产品除外）
西蜀豆花庄（东方广场店）,北京,8518 8388,餐饮,川湘菜,东城区东方新天地地下二层CC16,
华润（双裕店）,北京,8049 9059,零售,购物,顺义区后沙峪双裕东区（万科城市花园对面）,
第一健身俱乐部（方庄店）,北京,6762 0700,健身,健身,丰台区方庄芳城园1区1号楼,单次消费6折，平时入会费3折优惠；或享受店内同期优惠（不享受折上折）；购物无折扣
赛百味（东环店）,北京,6418 3776,餐饮,西餐,东城区东环广场B座地下一层,
皇城老妈（长椿街店）,北京,6317 3369,餐饮,川湘菜,宣武区长椿街3号,9折优惠
东方丽人女子舍宾健身中心（翠微店）,北京,6821 3897,美容美发,美容美发,海淀区翠微路翠微大厦B1层,舍宾9.5折优惠；美容、美体、美发、保健9折优惠
北京育英学校体育中心,北京,6822 3340,健身,健身,海淀区万寿路西街11号,享有会员待遇
北京亚洲大酒店金银岛健康俱乐部,北京,6500 7788,健身,健身,东城区工体北路新中街8号,健身全价基础上8折优惠，游泳、美容、美发全价基础上85折
北京亚洲大酒店阳光酒廊、老船坞,北京,6500 7788,餐饮,酒吧，咖啡厅、茶馆,东城区工体北路新中街8号,
北京亚洲大酒店锦江食府,北京,65007788,餐饮,苏浙菜,东城区工体北路新中西街8号,
北京昆泰嘉禾酒店,北京,59910088,健身,健身,昌平区回龙观农场桥东200米,美容美发单次消费8折优惠，其他4-6折不等。
海淀游泳馆,北京,6262 1131,健身,健身,海淀区颐和园路12号,门票8.5折，记次卡9折
牡丹良子健身中心,北京,8201 2677,健身,健身,海淀区北土城西路143号（牡丹宾馆）,8折优惠
上海老饭店,北京,6858 7777,餐饮,苏浙菜,西城区三里河东路5号（中商大厦18楼）,8.8折，酒水、海鲜除外
华夏良子健身,北京,6416 2226,健身,健身,东城区东直门南大街4号（东方银座南侧）,8折
北京丽人美容中心（华侨村店）,北京,6515 0358,美容美发,美容美发,朝阳区建外大街24号华侨村,美发、洗剪吹7折，其他美发项目85折；美容美体：法国JANEWU产品项目8折，其他项目85折；
北京丽人美容中心（国贸1店）,北京,6505 2288-8182,美容美发,美容美发,朝阳区国贸大厦1座地下一层,美发、洗剪吹7折，其他美发项目85折；美容美体：法国JANEWU产品项目8折，其他项目85折；
百万庄园（民族大学店）,北京,6893 1316,餐饮,西餐,海淀区白石桥路27号民族大学南侧,9折优惠；特价菜除外
百万庄园（理工大学店）,北京,6894 4554,餐饮,西餐,海淀区北三环西路66号,9折优惠；特价菜除外
百万庄园（章丘大厦店）,北京,6326 2933,餐饮,西餐,丰台区六里桥章丘饭店内,9折优惠；特价菜除外
百万庄园（卫星大厦店）,北京,6261 7202,餐饮,西餐,海淀区知春路63号,9折优惠；特价菜除外
娜韵美容院（悠唐店）,北京,5975 4518,美容美发,美容美发,朝阳区三丰北里2号楼悠唐生活广场2层206,单次消费8折，办卡7折
娜韵美容院（翠微店）,北京,5192 2708,美容美发,美容美发,海淀区翠微大厦西侧天行建商务楼509室,
娜韵美容院（双安店）,北京,6216 1758,美容美发,美容美发,双安商场西侧科展中心1号楼B座8层P室,
华润（世纪城店）,北京,8859 6210,零售,购物,海淀区四季青昆明湖南路62号,
好利来（安惠桥店）,北京,6498 8668,面包房、糕点,面包房、糕点,朝阳区西藏大厦东100处,9折优惠，优惠券除外
好利来(望京新城店),北京,6475 4333,面包房、糕点,面包房、糕点,朝阳区望京新城西园四区412楼,9折优惠，优惠券除外
好利来（方庄家乐福店）,北京,6764 7183,面包房、糕点,面包房、糕点,丰台区方城园2区15楼,9折优惠，优惠券除外
好利来（南礼士店）,北京,6801 6467,面包房、糕点,面包房、糕点,西城区复兴门外大街甲3号（地铁礼士路西南角）,9折优惠，优惠券除外
北京京体健身中心,北京,8731 5763,健身,健身,朝阳区松榆南里南新园1号,8.5折
锦江富园大酒店（康乐部）,北京,6780 0888-63,健身,健身,大兴北京经济开发区荣华中路1号,门市价8折优惠，酒水、物品除外，不享受双重优惠
足乐健身中心（紫竹桥店）,北京,6843 4920,健身,健身,海淀区昌运宫7号（紫竹桥西南角）,8.5折优惠
鹅和鸭酒吧,北京,6538 1691,餐饮,酒吧，咖啡厅、茶馆,朝阳区姚家园路105号观湖国际大厦1楼,持雅高卡客户到鹅和鸭任何地点消费都享有与鹅和鸭会员同等待遇;餐饮8.5折
鹅和鸭农庄,北京,6067 1097,健身,健身,怀柔区桥梓镇北宅村,持雅高卡客户到鹅和鸭任何地点消费都享有与鹅和鸭会员同等待遇
丽都饭店-游泳馆,北京,6437 6688-1871,健身,健身,朝阳区丽都饭店一层,8.5折优惠
福奈特干洗（劲松店）,北京,6778 1275,其他,干洗等,朝阳区劲松五区521号楼首层,8.5折优惠
福奈特干洗（吉祥里店）,北京,6552 5127,其他,干洗等,朝阳区朝外大街吉祥里小区201号楼首层,8.5折优惠
奇迹健身中心（望京店）,北京,6475 3811,健身,健身,朝阳区望京阜通西大街18号都市心海岸,8折或店内最低优惠
中国票务在线,北京,8008103721,文娱休闲,旅行（包括旅行社和定票，培训，KTV）,东城区东中街32号楼7层,9.8折优惠
北京西郊宾馆康乐中心,北京,6232 2288-5802,健身,健身,海淀区王庄路18号,6-8折优惠，详情电话咨询；
陈经纶中学游泳馆,北京,8561 1983,健身,健身,朝阳区朝外大街38号,8折优惠
湘鄂春（航天桥店）,北京,6846 6611,餐饮,川湘菜,西城区阜成路43号（航天桥西北角）,9折（海、河鲜、烟、酒水）除外
四季日光健身俱乐部,北京,6504 6850,健身,健身,朝阳区白家庄东里23号,6折，或店内最低折扣
E52健身中心（天元和平商厦）,北京,8421 6386,健身,健身,东城区和平里中街17号天元和平商业大厦,原价8.5折（仅限年卡、半年卡）
好利来（安外店）,北京,8412 5132,面包房、糕点,面包房、糕点,东城区安外大街3号楼1楼南侧,9折优惠，优惠券除外
好利来（团结湖店）,北京,8597 9737,面包房、糕点,面包房、糕点,朝阳区团结湖2号楼1楼南侧,9折优惠，优惠券除外
圣福华国际俱乐部（游泳馆）,北京,6788 0196,健身,健身,北京经济技术开发区天华北街5号,单次门市价8折，年卡、季卡不打折
阳坊胜利文化园,北京,6976 8782,餐饮,北方菜,昌平阳坊镇政府路,餐饮9.5折优惠，客房8折优惠
华凯莲香园会馆,北京,6399 3899,健身,健身,北京六里桥北里莲香园东南角,8折优惠
华润（亦庄店）,北京,6789 0336 / 7,零售,购物,大兴区天华北路天华园2里2层综合楼B1层,
福奈特（联想桥店）,北京,8212 2823,其他,干洗等,海淀区双榆树东里29号（联想桥苏宁电器对面）,全部8折优惠
新大都饭店国际会议康乐中心,北京,68319988-15700,健身,健身,西城区车公庄大街21号,7-8折不等；详情电话咨询；
西蜀豆花庄（亚运村店）,北京,6489 7778,餐饮,川湘菜,朝阳区安慧北里雅园1号楼,9.5折优惠，酒水海鲜除外
太和屋日本料理,北京,6496 9123,餐饮,日韩料理,朝阳区慧忠北里201楼首层,门市价9折；
德川家日本料理（四号 中关村店）,北京,6210 9096,餐饮,日韩料理,海淀区中关村南大街甲12号寰太大厦2层,门市价8折（酒水、特价菜、自助餐、套餐除外）
德川家日本料理（三号 光华路店）,北京,6506 3252,餐饮,日韩料理,朝阳区光华路9号世贸国际公寓D座首层,门市价8折（酒水、特价菜、自助餐、套餐除外）
德川家日本料理（二号 亚运村慧忠北里店）,北京,6486 0606,餐饮,日韩料理,朝阳区慧忠北里413号楼首层,门市价8折（酒水、特价菜、自助餐、套餐除外）
德川家日本料理（一号 亚运村安慧里店）,北京,6496 2739,餐饮,日韩料理,朝阳区安慧里1区26号,门市价8折（酒水、特价菜、自助餐、套餐除外）
中体倍力（建外SOHO店）,北京,5869 0666,健身,健身,朝阳区建国门外大街4号建外SOHO2号楼,全部项目9折或最低优惠
中体倍力（左岸工社店）,北京,6261 6161,健身,健身,海淀区北四环西路68号左岸工社6层,全部项目9折优惠；
中体倍力（金玉店）,北京,8851 8555,健身,健身,海淀区航天桥金玉大厦4层,全部项目9折优惠
喜悦冰上俱乐部,北京,6603 0050-16,健身,健身,西城区西单北大街180号西单文化广场地下三层,
青鸟健身中心（兆龙店）,北京,6597 2008,健身,健身,朝阳区工体北路2号兆龙饭店西楼,1:季卡1400元/3个月/1人。  2：半年卡2700元/6个月/1人。  3：20次卡/900元/1人（6个月有效期）。  当店内有特殊优惠低于本条件时，持卡人享受最优惠条件。
青鸟健身（百盛店）,北京,6601 2008,健身,健身,西城区复兴门内大街101号百胜购物中心2号楼10层,1:季卡1400元/3个月/1人。  2：半年卡2700元/6个月/1人。  3：20次卡/900元/1人（6个月有效期）。  当店内有特殊优惠低于本条件时，持卡人享受最优惠条件。
北京佳境天城健身会所,北京,8472 0009-8811,健身,健身,朝阳区望京中环南路甲2号,免入会费
慈铭健康体检中心（积水潭店）,北京,6611 9411,健身,健身,西城区德外大街甲58号（地铁积水潭站东南出口）,体检套餐8.5折，单项体检无折扣，不享受折上折
凤仪轩女子健身南礼士路店,北京,6801 9144,健身,健身,西城区南礼士路25号,健身卡8.5折
凤仪轩女子健身亚运村店,北京,6489 5963,健身,健身,朝阳区亚运村安慧里2区1号楼（北辰往东100米）,健身卡8.5折
运动100（西单店）,北京,6602 0497,零售,体育用品,西城区西单北大街180号西单文化广场地下一层,8.5折优惠
百合春天女子健身,北京,6586 8890,健身,健身,朝阳区光华路9号世贸国际公寓D座B1层,
渝乡人家（联合大厦店）,北京,6588 3841,餐饮,川湘菜,朝阳区朝外大街20号联合大厦5层,9.5折优惠，酒水除外。
渝乡人家（丽都店）,北京,6437 6688-1558,餐饮,川湘菜,朝阳区丽都广场2层,9.5折优惠，酒水除外
渝乡人家（左岸公社店）,北京,8267 6898,餐饮,川湘菜,海淀区北四环海淀桥西南角左岸公社2层,9.5折优惠，酒水除外。
渝乡人家（和平里店）,北京,8422 0807,餐饮,川湘菜,东城区和平里南口国家林业局对面,9.5折优惠，酒水除外
漫步意大利风味餐厅,北京,6440 1569,餐饮,西餐,东城区安定门外大街京宝花园院内,全单9折（中午商务套餐无折扣）
味多美（崇文门店）,北京,6524 6690,面包房、糕点,面包房、糕点,崇文门地铁西南出口（崇文门饭店西侧）,
味多美（三元桥店）,北京,6466 9668,面包房、糕点,面包房、糕点,朝阳区三源里南小街8号（300路三元桥站）,
味多美（右安门店）,北京,6305 6330,面包房、糕点,面包房、糕点,丰台区右安门外大街1-7号（华强超市南侧）,
味多美（航天桥店）,北京,6842 9885,面包房、糕点,面包房、糕点,海淀区西三环北路84号（金玉大厦东北角）,
味多美（双安店）,北京,8212 0966,面包房、糕点,面包房、糕点,海淀区双榆树华星影院一层,
味多美（南礼士路店）,北京,6804 0359,面包房、糕点,面包房、糕点,西城区复兴门外大街3号（地铁西北出口）,
味多美（万通店）,北京,6802 9527,面包房、糕点,面包房、糕点,西城区南礼士路36号（华远大厦1层）,
味多美（西安门店）,北京,6617 5667,面包房、糕点,面包房、糕点,西城区西安门大街63号（国管局对面）,
仙踪林（崇文门店）,北京,6708 0507,餐饮,中式快餐便当,崇文区大街甲3号（新世界一层）,9.5折优惠
味多美（古城店）,北京,6888 7592,面包房、糕点,面包房、糕点,石景山区古城路地铁西北侧,
好利来(望京中福店),北京,6471 4717,面包房、糕点,面包房、糕点,朝阳区望京南湖东园201号（中福百货）,9折优惠，优惠券除外
味多美（北太平庄店）,北京,6201 5901,面包房、糕点,面包房、糕点,海淀区北三环中路67号（北影东200米）,
味多美（安贞华联店）,北京,6441 2437,面包房、糕点,面包房、糕点,朝阳区安贞里3区26号楼一层（安贞华联东侧）,
味多美（中关村店）,北京,8260 3528,面包房、糕点,面包房、糕点,海淀区图书城南侧银科大厦一层（图书城南侧）,
味多美（和平里店）,北京,8422 5327,面包房、糕点,面包房、糕点,东城区和平里东街6区8号（肯德基南侧）,
味多美（甘家口店）,北京,6835 2164,面包房、糕点,面包房、糕点,海淀区甘家口增光路11楼（甘家口大厦西200米）,
好利来（裕民路店）,北京,6206 4666,面包房、糕点,面包房、糕点,朝阳区裕民路9号,9折优惠，优惠券除外
好利来（黄寺店）,北京,5163 3989,面包房、糕点,面包房、糕点,西城区黄寺大街24号院22号楼北侧24-3室,9折优惠，优惠券除外
好利来（欧陆店）,北京,8485 2140,面包房、糕点,面包房、糕点,朝阳区北苑路172号11号楼101号（欧陆经典大厦楼下）,9折优惠，优惠券除外
好利来（牡丹园店）,北京,6204 2047,面包房、糕点,面包房、糕点,海淀区花园东路31号牡丹宾馆一层,9折优惠，优惠券除外
好利来(经贸大学店),北京,6491 1649,面包房、糕点,面包房、糕点,朝阳区惠新东街9号,9折优惠，优惠券除外
好利来（左家庄店）,北京,8448 6999,面包房、糕点,面包房、糕点,朝阳区左家庄南里南16号楼,9折优惠，优惠券除外
味多美（菜百店）,北京,6358 9375,面包房、糕点,面包房、糕点,宣武区白广路北口麦当劳西侧,
味多美（灯市东口店）,北京,6513 0623,面包房、糕点,面包房、糕点,东城区灯市口大街14-1（灯市东口西50米）,
好利来（通州梨园店）,北京,8153 4540,面包房、糕点,面包房、糕点,通州区梨园云景里51号一层 福客隆超市正门南侧,
好利来（虎坊桥店）,北京,6316 3666,面包房、糕点,面包房、糕点,宣武区南新华街177号,9折优惠，优惠券除外
好利来（宣武门店）,北京,6303 0999,面包房、糕点,面包房、糕点,宣武区宣武门东大街24号,9折优惠，优惠券除外
好利来（亦庄店）,北京,6786 1806,面包房、糕点,面包房、糕点,丰台区亦庄经济技术开发区格林小镇广场（21世纪幼儿园对面）,9折优惠，优惠券除外
娜韵美容院（阜成门旗舰店）,北京,6804 7016/7/8/9,美容美发,美容美发,西城区南礼士路3号,单次消费8折，办卡7折
好利来(燕莎金源店),北京,8887 4349,面包房、糕点,面包房、糕点,海淀区远大路一号金源时代购物中心一层1096B-1098号商铺（燕莎Mall内）,9折优惠，优惠券除外
比格比萨（西外店）,北京,6836 2761,餐饮,西餐,西城区动物园东100米,享受店内散客同等优惠
比格比萨（华清店）,北京,8286.55962656332,餐饮,西餐,海淀区成府路华清商务会馆G座,享受店内散客同等优惠
么么咖啡,北京,6494 0614,餐饮,西餐,朝阳区小营路亚运豪庭一层,享受店内散客同等优惠
比格比萨（海学店）,北京,8237 3237,餐饮,西餐,海淀区学院路7号弘彧大厦,门市价9.5折优惠
东方时尚健身俱乐部,北京,8088 3308,健身,健身,通州区新华大街37号,8.5折优惠或店内最低优惠
青叶日式料理（亚运村店）,北京,6499 1390,餐饮,日韩料理,朝阳区汇园公寓A座首层（北辰购物中心后）,持卡人享受9折优惠（特价菜、酒水除外），自助餐无折扣
青叶日式料理（阳光广场店）,北京,6498 1919,餐饮,日韩料理,朝阳区安立路68号阳光广场B2座首层,持卡人享受9折优惠（特价菜、酒水除外），自助餐无折扣
北京西郊宾馆西园餐厅,北京,6232 2288-5888,餐饮,其它中餐,海淀区王庄路18号,8.8折，酒水、特价菜除外
北京西郊宾馆怡园餐厅,北京,6232 2288-5820,餐饮,其它中餐,海淀区王庄路18号,8.8折，酒水、特价菜除外
巴国布衣（西直门店）,北京,6615 2230,餐饮,川湘菜,西城区西直门南小街68号,9.5折，酒水、海鲜除外
德川家日本料理（五号 世贸国际公寓店）,北京,8776 2765,餐饮,日韩料理,朝阳区东三环中路世桥国贸公寓一层,门市价8折（酒水、特价菜、自助餐、套餐除外）
百万庄园（月坛店）,北京,6803 5967,餐饮,西餐,西城区月坛北街丙10号,9折优惠；特价菜除外
百万庄园（华腾店）,北京,8773 0311,餐饮,西餐,朝阳区劲松3区302号华腾大厦一层,9折优惠；特价菜除外
江户川日本料理（和平饭店店）,北京,6513 2315,餐饮,日韩料理,东城区金鱼胡同3号（和平饭店一层）,9折优惠；（酒水、特价菜、 自助餐除外）
江户川日本料理（中粮广场店）,北京,8511 8636,餐饮,日韩料理,建国门中粮广场C座4层,9折优惠；（酒水、特价菜、 自助餐除外）
董炯羽毛球俱乐部（望京店）,北京,6471 7111,健身,健身,朝阳区望京西园望京实验小学内,
九头鹰（丰台店）,北京,6386 1679,餐饮,其它中餐,丰台区丰台公安分局东侧丰管路58号,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
九头鹰（苏州桥店）,北京,8265 0808,餐饮,其它中餐,海淀区苏州桥城乡仓储超市对面,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
九头鹰（田村店）,北京,8821 5386,餐饮,其它中餐,海淀区西四环外田村43号,9.6折优惠；主食、酒水、海鲜、特价菜无折扣
华清良子健身,北京,8286 3883,健身,健身,海淀区清华南路华清嘉园8号楼,足疗8折；保健、按摩、棋牌无优惠。
味多美（天坛店）,北京,6715 9205,面包房、糕点,面包房、糕点,崇文区体育馆路12号（天坛公园东门）,
味多美（会城门店）,北京,6326 0096,面包房、糕点,面包房、糕点,海淀区会城门路口南100米（北蜂窝路北100米）,
味多美（刘家窑店）,北京,6768 5774,面包房、糕点,面包房、糕点,丰台区南三环中路刘家窑西侧,
味多美（六里桥店）,北京,63275781,面包房、糕点,面包房、糕点,丰台区西三环南路乙6号安安市场一层,
味多美（西直门店）,北京,6615 1243,面包房、糕点,面包房、糕点,西城区西内大街184号（成铭大厦东100米）,
味多美（朝阳门店）,北京,6580 2236,面包房、糕点,面包房、糕点,朝阳区朝阳门外华普超市朝阳门店一层,
味多美（清河店）,北京,6284 2016,面包房、糕点,面包房、糕点,海淀区清河南镇清河百货商场西侧（金五星东北角）,
味多美（志新桥店）,北京,6233 0822,面包房、糕点,面包房、糕点,海淀区志新桥路10号（物美1层）,
意粉屋（金源店）,北京,8887 5607,餐饮,西餐,海淀区远大路1号金源时代购物中心B05门,门市价9折优惠；酒水、特价菜除外
味多美（黄寺店）,北京,8223 7031,面包房、糕点,面包房、糕点,西城区黄寺大街乙28号,
渝味村（西三旗店）,北京,6271 3963,餐饮,川湘菜,海淀区西三旗黄土店渝味村,9.5折（酒水除外）；或享受店内最低优惠
好利来（玉泉路店）,北京,6680 8308,面包房、糕点,面包房、糕点,海淀区复兴路83号西侧门面房,9折优惠，优惠券除外
好利来（广安门店）,北京,6355 2322,面包房、糕点,面包房、糕点,宣武区广安门大街西8号楼信恒大厦底商,9折优惠，优惠券除外
好利来(j积水潭店),北京,6237 7159,面包房、糕点,面包房、糕点,西城区新街口外大街16号底商（二炮医院南侧）,9折优惠，优惠券除外
好利来（欧尚超市店）,北京,6372 4668,面包房、糕点,面包房、糕点,丰台区邻枫路1号大型商业中心内1层4号商铺（欧尚超市一层）,9折优惠，优惠券除外
好利来（紫竹桥店）,北京,8855 3113,面包房、糕点,面包房、糕点,海淀区紫竹院路88号E座1层2号（紫竹花园底商）,9折优惠，优惠券除外
好利来（保福寺店）,北京,6262 9779,面包房、糕点,面包房、糕点,海淀区科学院路55号（中关村中学对面）,9折优惠，优惠券除外
好利来（陶然亭店）,北京,6351 6411,面包房、糕点,面包房、糕点,宣武区陶然亭路63号,9折优惠，优惠券除外
好利来（白家庄店）,北京,6500 2346,面包房、糕点,面包房、糕点,朝阳区东三环北路向军北里6号楼北京汇鑫写字楼底商,9折优惠，优惠券除外
好利来（永定路店）,北京,6822 6455,面包房、糕点,面包房、糕点,海淀区永定路70号院三区,9折优惠，优惠券除外
霖之源南洋美食茶餐厅,北京,8887 4058,餐饮,粤闽菜,海淀区远大路1号金源时代购物中心5层03号,全单8.8折（已享受其他各类优惠活动者除外）
好伦哥比萨（方庄店）,北京,6768 1406,餐饮,西餐,丰台区芳城园二区15号（家乐福西侧2层）,
麻辣诱惑（大钟寺店）,北京,8211 9966,餐饮,川湘菜,海淀区大钟寺东侧太阳园小区会所,无折扣，享受店内现行优惠活动
华城柏丽（城乡店）,北京,6829 8327,美容美发,美容美发,海淀区复兴路甲23号城乡华懋一层,美容美发单次消费8折，办卡7.5折
青鸟健身（阳光港湾店）,北京,8581 2009-133,健身,健身,朝阳区石佛营东里155号拉斯维加斯湾5号,1:季卡1400元/3个月/1人。  2：半年卡2700元/6个月/1人。  3：20次卡/900元/1人（6个月有效期）。  当店内有特殊优惠低于本条件时，持卡人享受最优惠条件。
运动100（双井店）,北京,5452.16666666667,零售,体育用品,朝阳区广渠路31号双井家乐福一层,8.5折优惠
好利来（东直门店）,北京,6463 9344,面包房、糕点,面包房、糕点,东城区东直门北大街12号楼北面（东直门城铁入口处）,9折优惠，优惠券除外
世纪宝迪健康城（丽都A级店）,北京,6430 2008,健身,健身,朝阳区丽都广场商业楼5号楼/7号楼,门市价6折优惠
宝迪沃（西直门A级店）,北京,6615 8800,健身,健身,西城区西直门成铭大厦D座5/6层,享受店内优惠;
宝迪沃（黄寺B级店）,北京,8223 1616,健身,健身,西城区黄寺大街23号阳光丽景,享受店内优惠;
比格比萨（紫竹花园店）,北京,8855 3130,餐饮,西餐,海淀区紫竹院路88号紫竹花园F座,享受店内散客同等优惠
九头鸟（阜外店）,北京,6851 8099,餐饮,其它中餐,西城区阜外大街34号,9.5折优惠，酒水主食无折扣
和合谷（中友店）,北京,6602 4234,餐饮,中式快餐便当,西城区西单中友百货地下1层,9.5折或享受店内一切优惠活动
和合谷（华威大厦店）,北京,6602 4637,餐饮,中式快餐便当,西城区西单北大街130号华威大厦B1,9.5折或享受店内一切优惠活动
和合谷（新世界I店）,北京,6708 9270,餐饮,其它中餐,崇文区新世界商场I期5层,9.5折或享受店内一切优惠活动
渝乡人家（新东安店）,北京,6528 0668,餐饮,川湘菜,东城区王府井大街新东安市场6层,9.5折优惠，酒水除外
外滩风尚（通州店）,北京,6951 7678,餐饮,西餐,通州区车站路14号,享受门市价9折优惠
马华健身俱乐部集团,北京,0,健身,健身,0,
北京自然风光旅行社,北京,5187 0932,文娱休闲,旅行（包括旅行社和定票，培训，KTV）,西城区月坛西街西里甲15楼1门4号,9.5折到9.8折不等，或团费减免优惠等；预定机票加收3%服务费。
山水间（龙潭湖羊蝎子店）,北京,6714 9700,餐饮,其它中餐,崇文区龙潭湖公园北门北侧,
山水间（民族饭店鲍翅楼店）,北京,6606 3072,餐饮,其它中餐,西城区复兴门内大街民族饭店首层,
山水间（永定路羊蝎子店）,北京,8827 2141,餐饮,其它中餐,海淀区永定路北口阜永路口南30米,
山水间（洋桥风味餐厅店）,北京,6753 8962,餐饮,其它中餐,丰台区马家堡东路三星大厦南楼一层,
山水间（洋桥羊蝎子火锅分店）,北京,6897.53225806452,餐饮,其它中餐,丰台区马家堡政洋大厦一层,
